date,closed,open,high,low,volume(million),percent change
7/10/25,"39,000.00","40,000.00","40,000.00","38,950.00",11.81,-0.0102
6/10/25,"39,400.00","38,950.00","39,400.00","38,500.00",23.15,0.0274
3/10/25,"38,350.00","38,550.00","38,650.00","38,050.00",11.27,-0.0129
2/10/25,"38,850.00","38,850.00","39,200.00","38,400.00",16.26,0.0078
1/10/25,"38,550.00","37,850.00","38,600.00","37,800.00",13.23,0.0185
30/9/25,"37,850.00","38,050.00","38,050.00","37,500.00",11.11,0.0026
29/9/25,"37,750.00","37,603.90","37,798.70","37,409.10",10.12,0.0013
26/9/25,"37,701.30","37,896.10","37,944.90","37,409.10",11.44,-0.0051
25/9/25,"37,896.10","37,798.70","37,944.90","37,555.20",11.88,0.0026
24/9/25,"37,798.70","36,532.30","37,798.70","36,191.30",14.16,0.0347
23/9/25,"36,532.30","36,581.00","37,019.40","36,532.30",8.09,-0.0258
22/9/25,"37,500.00","38,300.00","38,400.00","37,300.00",21.46,-0.0234
19/9/25,"38,400.00","38,800.00","38,800.00","38,100.00",10.81,-0.0103
18/9/25,"38,800.00","38,700.00","38,800.00","38,200.00",13.63,0.0026
17/9/25,"38,700.00","39,350.00","39,450.00","38,500.00",15.62,-0.0165
16/9/25,"39,350.00","39,650.00","40,100.00","39,250.00",30.14,0.009
15/9/25,"39,000.00","38,550.00","39,000.00","38,550.00",16.48,0.0104
12/9/25,"38,600.00","39,050.00","39,100.00","38,500.00",18.39,-0.0026
11/9/25,"38,700.00","38,900.00","39,000.00","37,700.00",20.44,-0.0077
10/9/25,"39,000.00","39,250.00","39,800.00","38,600.00",25.91,0.013
9/9/25,"38,500.00","38,550.00","38,650.00","37,850.00",27.38,0.0132
8/9/25,"38,000.00","39,500.00","39,600.00","38,000.00",31.84,-0.038
5/9/25,"39,500.00","39,950.00","40,950.00","39,500.00",35.38,-0.0025
4/9/25,"39,600.00","39,600.00","39,950.00","39,400.00",16.82,0
3/9/25,"39,600.00","40,050.00","40,100.00","39,450.00",13.49,0
29/8/25,"39,600.00","40,100.00","40,250.00","39,600.00",23.18,0
28/8/25,"39,600.00","39,600.00","39,600.00","38,800.00",18.62,0.0167
27/8/25,"38,950.00","39,500.00","40,700.00","38,900.00",25.05,-0.0102
26/8/25,"39,350.00","38,000.00","39,400.00","36,950.00",29.55,0.0479
25/8/25,"37,550.00","39,550.00","39,650.00","37,300.00",39.31,-0.0372
22/8/25,"39,000.00","40,500.00","41,100.00","38,650.00",53.11,-0.0614
21/8/25,"41,550.00","41,300.00","42,500.00","41,000.00",37.57,0.0259
20/8/25,"40,500.00","40,450.00","40,900.00","38,900.00",52.93,0.0332
19/8/25,"39,200.00","38,250.00","39,450.00","38,100.00",37.48,0.0329
18/8/25,"37,950.00","38,200.00","38,650.00","37,650.00",21.69,0.0093
15/8/25,"37,600.00","38,900.00","38,950.00","37,600.00",31.15,-0.0208
14/8/25,"38,400.00","37,750.00","39,200.00","37,750.00",38,0.024
13/8/25,"37,500.00","37,800.00","38,000.00","36,900.00",27.54,-0.0053
12/8/25,"37,700.00","37,800.00","38,000.00","37,200.00",22.62,-0.0013
11/8/25,"37,750.00","37,950.00","38,450.00","37,600.00",24.6,-0.0026
8/8/25,"37,850.00","38,750.00","38,750.00","37,400.00",31.01,-0.0143
7/8/25,"38,400.00","38,500.00","38,900.00","37,800.00",30.08,0.0052
6/8/25,"38,200.00","38,000.00","39,000.00","37,200.00",30.37,0.0324
5/8/25,"37,000.00","35,800.00","37,800.00","35,800.00",92.36,0.0467
4/8/25,"35,350.00","34,100.00","35,350.00","34,000.00",23.1,0.0367
1/8/25,"34,100.00","34,150.00","34,700.00","34,050.00",20.62,0.0029
31/7/25,"34,000.00","34,600.00","35,000.00","33,800.00",26.76,-0.0145
30/7/25,"34,500.00","34,150.00","34,600.00","33,700.00",30.55,0.0177
29/7/25,"33,900.00","35,750.00","35,750.00","33,900.00",45,-0.0478
28/7/25,"35,600.00","35,250.00","35,850.00","35,200.00",30.58,0.0114
25/7/25,"35,200.00","35,100.00","35,200.00","34,950.00",18.9,0.0043
24/7/25,"35,050.00","35,050.00","35,600.00","34,950.00",19.28,0.0014
23/7/25,"35,000.00","35,400.00","35,450.00","34,900.00",27.86,-0.0099
22/7/25,"35,350.00","35,150.00","35,450.00","34,900.00",26.98,-0.0028
21/7/25,"35,450.00","36,300.00","36,500.00","35,350.00",23.12,-0.0221
18/7/25,"36,250.00","35,150.00","36,500.00","35,050.00",36.57,0.0313
17/7/25,"35,150.00","35,400.00","35,600.00","35,100.00",16.14,-0.0028
16/7/25,"35,250.00","34,800.00","35,450.00","34,600.00",15.01,0.0129
15/7/25,"34,800.00","35,150.00","35,750.00","34,800.00",18.01,-0.0085
14/7/25,"35,100.00","34,950.00","35,100.00","34,300.00",18.13,0.0043
11/7/25,"34,950.00","34,800.00","35,500.00","34,800.00",18.59,0.0043
10/7/25,"34,800.00","34,900.00","35,000.00","34,650.00",14.46,-0.0029
9/7/25,"34,900.00","35,450.00","35,600.00","34,700.00",31.89,-0.0113
8/7/25,"35,300.00","35,300.00","35,550.00","35,100.00",12.97,0
7/7/25,"35,300.00","35,200.00","35,450.00","35,100.00",12.24,0.01
4/7/25,"34,950.00","34,850.00","35,000.00","34,650.00",12.16,0.0029
3/7/25,"34,850.00","35,150.00","35,300.00","34,800.00",22.27,-0.0043
2/7/25,"35,000.00","34,500.00","35,100.00","34,450.00",16.95,0.0174
1/7/25,"34,400.00","34,200.00","34,550.00","34,050.00",12.55,0.0058
30/6/25,"34,200.00","34,100.00","34,700.00","34,000.00",13.91,0.0074
27/6/25,"33,950.00","34,100.00","34,250.00","33,850.00",9.84,-0.0029
26/6/25,"34,050.00","34,000.00","34,450.00","33,800.00",12.61,0.0074
25/6/25,"33,800.00","34,150.00","34,250.00","33,800.00",13.12,-0.0059
24/6/25,"34,000.00","34,050.00","34,750.00","33,700.00",25.17,0.0059
23/6/25,"33,800.00","33,600.00","34,000.00","33,400.00",18.9,-0.0059
20/6/25,"34,000.00","34,200.00","34,850.00","33,900.00",17.11,0
19/6/25,"34,000.00","32,800.00","34,000.00","32,800.00",23.28,0.0366
18/6/25,"32,800.00","32,400.00","33,350.00","32,200.00",17.76,0.0123
17/6/25,"32,400.00","32,550.00","32,600.00","32,050.00",17.96,0.0031
16/6/25,"32,300.00","31,000.00","32,350.00","30,950.00",23.15,0.0353
13/6/25,"31,200.00","30,700.00","31,500.00","30,500.00",27.42,0.0081
12/6/25,"30,950.00","30,350.00","31,150.00","30,250.00",24.55,0.0282
11/6/25,"30,100.00","30,350.00","30,350.00","29,950.00",6.09,0.0017
10/6/25,"30,050.00","29,950.00","30,500.00","29,850.00",15.1,0.0101
9/6/25,"29,750.00","30,300.00","30,450.00","29,750.00",20.75,-0.0182
6/6/25,"30,300.00","31,000.00","31,000.00","30,300.00",28.35,-0.0257
5/6/25,"31,100.00","31,350.00","31,600.00","31,050.00",15.79,-0.008
4/6/25,"31,350.00","31,700.00","31,700.00","31,200.00",15.68,-0.0079
3/6/25,"31,600.00","30,900.00","31,900.00","30,900.00",23.86,0.0243
2/6/25,"30,850.00","30,400.00","30,950.00","30,200.00",13.96,0.0131
30/5/25,"30,450.00","30,800.00","30,800.00","30,450.00",9.98,-0.0114
29/5/25,"30,800.00","30,500.00","30,800.00","30,300.00",14.71,0.0098
28/5/25,"30,500.00","30,700.00","30,800.00","30,250.00",18.57,-0.0033
27/5/25,"30,600.00","30,600.00","31,250.00","30,350.00",23.57,0.0082
26/5/25,"30,350.00","30,150.00","30,350.00","29,500.00",20.23,0.0066
23/5/25,"30,150.00","30,550.00","30,600.00","29,800.00",17.85,-0.0115
22/5/25,"30,500.00","30,650.00","31,200.00","30,300.00",28,-0.0129
21/5/25,"30,900.00","31,000.00","31,400.00","30,700.00",19.49,-0.0016
20/5/25,"30,950.00","29,500.00","31,100.00","29,500.00",38.19,0.0492
19/5/25,"29,500.00","29,200.00","29,950.00","29,100.00",20.46,0.0017
16/5/25,"29,450.00","29,900.00","29,900.00","29,250.00",20.03,-0.0151
15/5/25,"29,900.00","29,900.00","30,200.00","29,550.00",17.78,0.0017
14/5/25,"29,850.00","29,350.00","30,500.00","29,300.00",19.73,0.0153
13/5/25,"29,400.00","29,500.00","29,700.00","29,150.00",13.21,0
12/5/25,"29,400.00","27,650.00","29,450.00","27,600.00",46.7,0.0652
9/5/25,"27,600.00","27,300.00","28,000.00","27,250.00",18.3,0.0073
8/5/25,"27,400.00","27,000.00","27,450.00","26,850.00",18.38,0.0148
7/5/25,"27,000.00","26,850.00","27,100.00","26,600.00",13.69,0.0056
6/5/25,"26,850.00","26,500.00","27,200.00","26,400.00",24.41,0.0132
5/5/25,"26,500.00","26,650.00","26,650.00","26,150.00",9.05,0.0076
29/4/25,"26,300.00","26,000.00","26,600.00","26,000.00",18.13,0.0115
28/4/25,"26,000.00","26,000.00","26,100.00","25,800.00",11.16,0.0019
25/4/25,"25,950.00","25,950.00","26,050.00","25,400.00",19.49,0.0078
24/4/25,"25,750.00","26,000.00","26,100.00","25,700.00",8.92,-0.0134
23/4/25,"26,100.00","25,750.00","26,300.00","25,150.00",18.23,0.0378
22/4/25,"25,150.00","25,250.00","25,650.00","23,950.00",29.52,-0.0233
21/4/25,"25,750.00","26,000.00","26,300.00","25,600.00",12.19,-0.0096
18/4/25,"26,000.00","26,500.00","26,500.00","26,000.00",16.89,0
17/4/25,"26,000.00","25,600.00","26,000.00","25,550.00",14.26,0.0078
16/4/25,"25,800.00","26,150.00","26,450.00","25,750.00",18.15,-0.0077
15/4/25,"26,000.00","26,050.00","26,350.00","25,800.00",21.18,-0.0207
14/4/25,"26,550.00","26,600.00","26,700.00","26,100.00",19.91,-0.0019
11/4/25,"26,600.00","26,500.00","26,600.00","25,600.00",47.94,0.0535
10/4/25,"25,250.00","25,250.00","25,250.00","25,250.00",1.24,0.0699
9/4/25,"23,600.00","22,300.00","24,900.00","22,300.00",40.79,-0.0146
8/4/25,"23,950.00","25,000.00","25,000.00","23,950.00",33.47,-0.0681
4/4/25,"25,700.00","24,150.00","25,750.00","24,150.00",56.8,-0.0096
3/4/25,"25,950.00","26,950.00","27,200.00","25,950.00",58.89,-0.0699
2/4/25,"27,900.00","28,000.00","28,150.00","27,850.00",6.67,-0.0018
1/4/25,"27,950.00","27,500.00","28,000.00","27,400.00",9.05,0.0164
31/3/25,"27,500.00","27,400.00","27,500.00","27,200.00",12.98,-0.0018
28/3/25,"27,550.00","27,750.00","27,800.00","27,450.00",12.35,-0.0072
27/3/25,"27,750.00","28,000.00","28,150.00","27,750.00",7.52,-0.0089
26/3/25,"28,000.00","27,900.00","28,500.00","27,800.00",24.09,0.0036
25/3/25,"27,900.00","28,100.00","28,200.00","27,850.00",8.13,-0.0036
24/3/25,"28,000.00","27,350.00","28,200.00","27,200.00",21.08,0.0238
21/3/25,"27,350.00","27,350.00","27,550.00","27,300.00",7.45,-0.0036
20/3/25,"27,450.00","27,500.00","27,550.00","27,100.00",14.43,0.0073
19/3/25,"27,250.00","27,300.00","27,350.00","27,150.00",12.08,-0.0055
18/3/25,"27,400.00","27,500.00","27,600.00","27,300.00",7.95,-0.0018
17/3/25,"27,450.00","27,350.00","27,450.00","27,150.00",11,0.0055
14/3/25,"27,300.00","27,100.00","27,400.00","27,100.00",10.66,0
13/3/25,"27,300.00","27,800.00","27,800.00","27,250.00",18.99,-0.0197
12/3/25,"27,850.00","28,100.00","28,250.00","27,800.00",10.86,-0.0054
11/3/25,"28,000.00","27,500.00","28,000.00","27,450.00",15.31,0.0072
10/3/25,"27,800.00","27,750.00","28,300.00","27,700.00",13.91,0.0018
7/3/25,"27,750.00","27,700.00","27,900.00","27,450.00",14.92,0.0018
6/3/25,"27,700.00","27,450.00","27,700.00","27,350.00",12.57,0.0147
5/3/25,"27,300.00","27,500.00","27,600.00","27,300.00",13.27,-0.0073
4/3/25,"27,500.00","26,100.00","27,550.00","26,000.00",40.2,0.0536
3/3/25,"26,100.00","26,150.00","26,300.00","26,050.00",9.36,0
28/2/25,"26,100.00","26,250.00","26,300.00","26,050.00",12.22,-0.0057
27/2/25,"26,250.00","26,400.00","26,400.00","26,000.00",12.51,-0.0019
26/2/25,"26,300.00","26,400.00","26,550.00","26,300.00",9.95,-0.0038
25/2/25,"26,400.00","26,600.00","26,800.00","26,350.00",14.5,-0.0038
24/2/25,"26,500.00","26,400.00","26,650.00","26,300.00",11.76,0
21/2/25,"26,500.00","26,600.00","26,600.00","26,400.00",8.8,-0.0019
20/2/25,"26,550.00","26,200.00","26,600.00","26,050.00",21.18,0.0172
19/2/25,"26,100.00","25,950.00","26,150.00","25,800.00",12.94,0.0097
18/2/25,"25,850.00","25,700.00","26,100.00","25,650.00",10.76,0.0058
17/2/25,"25,700.00","26,000.00","26,100.00","25,700.00",10.97,-0.0115
14/2/25,"26,000.00","26,100.00","26,200.00","25,900.00",10.24,0.0019
13/2/25,"25,950.00","25,600.00","26,000.00","25,550.00",11.95,0.0097
12/2/25,"25,700.00","26,000.00","26,000.00","25,700.00",11.52,-0.0077
11/2/25,"25,900.00","26,100.00","26,150.00","25,750.00",15.67,0.0058
10/2/25,"25,750.00","25,750.00","26,250.00","25,450.00",22.15,0
7/2/25,"25,750.00","25,450.00","25,800.00","25,200.00",26.59,0.0218
6/2/25,"25,200.00","24,900.00","25,500.00","24,800.00",37.58,0.0202
5/2/25,"24,700.00","24,850.00","24,900.00","24,550.00",9.43,0.002
4/2/25,"24,650.00","24,350.00","24,700.00","24,300.00",12.47,0.0165
3/2/25,"24,250.00","24,500.00","24,700.00","24,250.00",10.89,-0.0202
24/1/25,"24,750.00","24,800.00","24,850.00","24,650.00",10.33,0.0061
23/1/25,"24,600.00","24,350.00","24,850.00","24,250.00",21.07,0.0165
22/1/25,"24,200.00","24,450.00","24,450.00","24,150.00",7.46,0
21/1/25,"24,200.00","24,400.00","24,500.00","24,150.00",8.13,-0.0082
20/1/25,"24,400.00","24,400.00","24,500.00","24,250.00",5.18,0
17/1/25,"24,400.00","23,850.00","24,400.00","23,750.00",10.02,0.0231
16/1/25,"23,850.00","23,850.00","23,950.00","23,600.00",8.07,0.0063
15/1/25,"23,700.00","23,800.00","23,900.00","23,650.00",6.72,0.0042
14/1/25,"23,600.00","23,550.00","23,750.00","23,500.00",4.18,-0.0084
13/1/25,"23,800.00","23,200.00","23,800.00","23,150.00",7.94,0.0171
10/1/25,"23,400.00","24,000.00","24,000.00","23,400.00",6.23,-0.023
9/1/25,"23,950.00","24,050.00","24,050.00","23,750.00",4.71,0
8/1/25,"23,950.00","23,800.00","24,300.00","23,650.00",11.95,0.0127
7/1/25,"23,650.00","23,900.00","23,900.00","23,550.00",7.62,0.0021
6/1/25,"23,600.00","23,600.00","23,850.00","23,500.00",8.13,0
3/1/25,"23,600.00","24,350.00","24,350.00","23,600.00",17.43,-0.0308
2/1/25,"24,350.00","24,650.00","24,700.00","24,300.00",7.83,-0.0122
31/12/24,"24,650.00","24,350.00","24,650.00","24,350.00",9.4,0.0102
30/12/24,"24,400.00","24,750.00","24,750.00","24,350.00",10.15,-0.0081
27/12/24,"24,600.00","24,500.00","24,900.00","24,450.00",15.4,0.0103
26/12/24,"24,350.00","24,500.00","24,550.00","24,300.00",5.48,-0.0041
25/12/24,"24,450.00","24,000.00","24,900.00","23,950.00",18.37,0.0188
24/12/24,"24,000.00","24,050.00","24,050.00","23,800.00",5.18,0.0042
23/12/24,"23,900.00","24,000.00","24,050.00","23,800.00",3.21,0.0042
20/12/24,"23,800.00","23,850.00","23,950.00","23,800.00",4.59,0.0021
19/12/24,"23,750.00","24,000.00","24,050.00","23,750.00",15.03,-0.0186
18/12/24,"24,200.00","24,250.00","24,300.00","24,100.00",5.79,0
17/12/24,"24,200.00","24,400.00","24,400.00","24,150.00",5.39,-0.0041
16/12/24,"24,300.00","24,300.00","24,400.00","24,100.00",6.36,-0.0021
13/12/24,"24,350.00","24,300.00","24,550.00","24,100.00",11.02,0.0041
12/12/24,"24,250.00","24,200.00","24,500.00","24,150.00",18.54,0.0041
11/12/24,"24,150.00","24,050.00","24,300.00","24,000.00",10.34,0.0042
10/12/24,"24,050.00","24,050.00","24,200.00","24,000.00",7.04,-0.0041
9/12/24,"24,150.00","24,100.00","24,300.00","23,950.00",7.6,0
6/12/24,"24,150.00","24,200.00","24,250.00","23,950.00",10.92,-0.0021
5/12/24,"24,200.00","23,450.00","24,200.00","23,350.00",14.19,0.032
4/12/24,"23,450.00","23,450.00","23,600.00","23,400.00",8.18,-0.0085
3/12/24,"23,650.00","23,650.00","23,750.00","23,450.00",8.33,0
2/12/24,"23,650.00","23,700.00","23,700.00","23,400.00",6.57,0.0021
29/11/24,"23,600.00","23,500.00","23,600.00","23,350.00",8.45,0
